biosample_class	sample	experiment	doc_count
tissue	left colon	long read RNA-seq	1
tissue	left renal cortex interstitium	DNase-seq	4
tissue	left renal cortex interstitium	polyA plus RNA-seq	4
tissue	left renal pelvis	DNase-seq	4
tissue	left renal pelvis	polyA plus RNA-seq	4
tissue	right renal pelvis	DNase-seq	4
tissue	right renal pelvis	polyA plus RNA-seq	4
tissue	bone marrow	Histone ChIP-seq	3
tissue	bone marrow	TF ChIP-seq	2
tissue	bone marrow	WGBS	1
tissue	bone marrow	polyA plus RNA-seq	1
tissue	cortical plate	Histone ChIP-seq	3
tissue	cortical plate	TF ChIP-seq	2
tissue	cortical plate	polyA plus RNA-seq	2
tissue	olfactory bulb	Histone ChIP-seq	3
tissue	olfactory bulb	TF ChIP-seq	2
tissue	olfactory bulb	WGBS	1
tissue	olfactory bulb	polyA plus RNA-seq	1
tissue	posterior vena cava	long read RNA-seq	2
tissue	posterior vena cava	total RNA-seq	2
tissue	posterior vena cava	ATAC-seq	1
tissue	posterior vena cava	DNase-seq	1
tissue	posterior vena cava	microRNA-seq	1
tissue	retina	DNase-seq	7
tissue	embryo	DNase-seq	5
tissue	embryo	polyA plus RNA-seq	1
tissue	mucosa of stomach	Histone ChIP-seq	6
tissue	rectal smooth muscle tissue	Histone ChIP-seq	6
tissue	right renal cortex interstitium	DNase-seq	3
tissue	right renal cortex interstitium	polyA plus RNA-seq	3
tissue	salivary gland	polyA plus RNA-seq	4
tissue	salivary gland	total RNA-seq	2
tissue	Right ventricle myocardium inferior	ATAC-seq	1
tissue	Right ventricle myocardium inferior	DNase-seq	1
tissue	Right ventricle myocardium inferior	long read RNA-seq	1
tissue	Right ventricle myocardium inferior	microRNA-seq	1
tissue	Right ventricle myocardium inferior	total RNA-seq	1
tissue	Right ventricle myocardium superior	ATAC-seq	1
tissue	Right ventricle myocardium superior	DNase-seq	1
tissue	Right ventricle myocardium superior	long read RNA-seq	1
tissue	Right ventricle myocardium superior	microRNA-seq	1
tissue	Right ventricle myocardium superior	total RNA-seq	1
tissue	imaginal disc	polyA plus RNA-seq	2
tissue	imaginal disc	CAGE	1
tissue	imaginal disc	PAS-seq	1
tissue	imaginal disc	total RNA-seq	1
tissue	left ventricle myocardium superior	ATAC-seq	1
tissue	left ventricle myocardium superior	DNase-seq	1
tissue	left ventricle myocardium superior	long read RNA-seq	1
tissue	left ventricle myocardium superior	microRNA-seq	1
tissue	left ventricle myocardium superior	total RNA-seq	1
tissue	lower lobe of right lung	ATAC-seq	1
tissue	lower lobe of right lung	DNase-seq	1
tissue	lower lobe of right lung	long read RNA-seq	1
tissue	lower lobe of right lung	microRNA-seq	1
tissue	lower lobe of right lung	total RNA-seq	1
tissue	male accessory sex gland	polyA plus RNA-seq	2
tissue	male accessory sex gland	CAGE	1
tissue	male accessory sex gland	PAS-seq	1
tissue	male accessory sex gland	total RNA-seq	1
tissue	mesenteric fat pad	ATAC-seq	1
tissue	mesenteric fat pad	DNase-seq	1
tissue	mesenteric fat pad	long read RNA-seq	1
tissue	mesenteric fat pad	microRNA-seq	1
tissue	mesenteric fat pad	total RNA-seq	1
tissue	sciatic nerve	ATAC-seq	2
tissue	sciatic nerve	DNase-seq	1
tissue	sciatic nerve	microRNA-seq	1
tissue	sciatic nerve	total RNA-seq	1
tissue	tongue	DNase-seq	2
tissue	tongue	RAMPAGE	1
tissue	tongue	small RNA-seq	1
tissue	tongue	total RNA-seq	1
tissue	upper lobe of right lung	ATAC-seq	1
tissue	upper lobe of right lung	DNase-seq	1
tissue	upper lobe of right lung	long read RNA-seq	1
tissue	upper lobe of right lung	microRNA-seq	1
tissue	upper lobe of right lung	total RNA-seq	1
tissue	brown adipose tissue	Histone ChIP-seq	3
tissue	brown adipose tissue	polyA plus RNA-seq	1
tissue	cardiac septum	DNase-seq	1
tissue	cardiac septum	long read RNA-seq	1
tissue	cardiac septum	microRNA-seq	1
tissue	cardiac septum	total RNA-seq	1
tissue	colon	DNAme array	2
tissue	colon	FAIRE-seq	1
tissue	colon	polyA plus RNA-seq	1
tissue	occipital lobe	DNase-seq	1
tissue	occipital lobe	RAMPAGE	1
tissue	occipital lobe	small RNA-seq	1
tissue	occipital lobe	total RNA-seq	1
tissue	skin of body	DNase-seq	1
tissue	skin of body	RAMPAGE	1
tissue	skin of body	small RNA-seq	1
tissue	skin of body	total RNA-seq	1
tissue	diencephalon	RAMPAGE	1
tissue	diencephalon	small RNA-seq	1
tissue	diencephalon	total RNA-seq	1
tissue	gonadal fat pad	polyA plus RNA-seq	2
tissue	gonadal fat pad	DNase-seq	1
tissue	left lobe of liver	ATAC-seq	1
tissue	left lobe of liver	DNase-seq	1
tissue	left lobe of liver	total RNA-seq	1
tissue	metanephros	RAMPAGE	1
tissue	metanephros	small RNA-seq	1
tissue	metanephros	total RNA-seq	1
tissue	mucosa of gallbladder	ATAC-seq	1
tissue	mucosa of gallbladder	DNase-seq	1
tissue	mucosa of gallbladder	total RNA-seq	1
tissue	parietal lobe	RAMPAGE	1
tissue	parietal lobe	small RNA-seq	1
tissue	parietal lobe	total RNA-seq	1
tissue	umbilical cord	DNase-seq	1
tissue	umbilical cord	RAMPAGE	1
tissue	umbilical cord	total RNA-seq	1
tissue	breast	DNAme array	1
tissue	breast	RRBS	1
tissue	camera-type eye	RAMPAGE	1
tissue	camera-type eye	total RNA-seq	1
tissue	cortex	DNase-seq	2
tissue	eye	DNase-seq	2
tissue	fat pad	DNase-seq	1
tissue	fat pad	polyA plus RNA-seq	1
tissue	forelimb muscle	DNase-seq	1
tissue	forelimb muscle	polyA plus RNA-seq	1
tissue	hindlimb muscle	DNase-seq	1
tissue	hindlimb muscle	polyA plus RNA-seq	1
tissue	islet of Langerhans	FAIRE-seq	1
tissue	islet of Langerhans	RRBS	1
tissue	jejunum	DNAme array	1
tissue	jejunum	genotyping array	1
tissue	mole	microRNA-seq	1
tissue	mole	polyA plus RNA-seq	1
tissue	pericardium	DNAme array	1
tissue	pericardium	RRBS	1
tissue	telencephalon	DNase-seq	1
tissue	telencephalon	polyA plus RNA-seq	1
tissue	zone of skin	DNAme array	1
tissue	zone of skin	RRBS	1
tissue	Ammon's horn	DNase-seq	1
tissue	area 11 of Brodmann	microRNA-seq	1
tissue	autopod region	scRNA-seq	1
tissue	cerebellar cortex	DNase-seq	1
tissue	duodenum	polyA plus RNA-seq	1
tissue	endometrium	FAIRE-seq	1
tissue	esophagus mucosa	ATAC-seq	1
tissue	fallopian tube	ATAC-seq	1
tissue	femur	DNase-seq	1
tissue	forelimb bud	DNase-seq	1
tissue	forelimb stylopod	scRNA-seq	1
tissue	forelimb zygopod	scRNA-seq	1
tissue	germinal center	DNase-seq	1
tissue	globus pallidus	DNase-seq	1
tissue	hindlimb bud	DNase-seq	1
tissue	inferior parietal cortex	DNase-seq	1
tissue	insula	microRNA-seq	1
tissue	left forelimb	DNase-seq	1
tissue	left hindlimb	DNase-seq	1
tissue	mammary gland	polyA plus RNA-seq	1
tissue	medulla oblongata	DNase-seq	1
tissue	mesoderm	DNase-seq	1
tissue	middle frontal gyrus	DNase-seq	1
tissue	mucosa of urinary bladder	ATAC-seq	1
tissue	penis	DNAme array	1
tissue	pons	DNase-seq	1
tissue	posterior cingulate cortex	ATAC-seq	1
tissue	posterior foregut	Repli-chip	1
tissue	putamen	DNase-seq	1
tissue	rectum	DNAme array	1
tissue	right forelimb	DNase-seq	1
tissue	right hindlimb	DNase-seq	1
tissue	superior temporal gyrus	DNase-seq	1
tissue	ureter	DNase-seq	1
tissue	yolk sac	DNase-seq	1
cell line	K562	TF ChIP-seq	641
cell line	K562	eCLIP	120
cell line	K562	Histone ChIP-seq	19
cell line	K562	polyA plus RNA-seq	15
cell line	K562	total RNA-seq	13
cell line	K562	ChIA-PET	11
cell line	K562	CAGE	9
cell line	K562	RNA microarray	9
cell line	K562	small RNA-seq	7
cell line	K562	MS-MS	6
cell line	K562	RIP-chip	6
cell line	K562	RNA-PET	6
cell line	K562	Repli-seq	6
cell line	K562	RIP-seq	5
cell line	K562	DNase-seq	4
cell line	K562	WGS	4
cell line	K562	DNA-PET	3
cell line	K562	DNAme array	3
cell line	K562	iCLIP	3
cell line	K562	long read RNA-seq	3
cell line	K562	polyA minus RNA-seq	3
cell line	K562	5C	2
cell line	K562	ATAC-seq	2
cell line	K562	BruChase-seq	2
cell line	K562	genotyping array	2
cell line	K562	microRNA-seq	2
cell line	K562	BruUV-seq	1
cell line	K562	FAIRE-seq	1
cell line	K562	Hi-C	1
cell line	K562	MNase-seq	1
cell line	K562	MRE-seq	1
cell line	K562	MeDIP-seq	1
cell line	K562	RAMPAGE	1
cell line	K562	RRBS	1
cell line	K562	WGBS	1
cell line	K562	microRNA counts	1
cell line	HepG2	TF ChIP-seq	644
cell line	HepG2	eCLIP	103
cell line	HepG2	Histone ChIP-seq	15
cell line	HepG2	polyA plus RNA-seq	11
cell line	HepG2	CAGE	6
cell line	HepG2	RNA microarray	6
cell line	HepG2	Repli-seq	6
cell line	HepG2	total RNA-seq	6
cell line	HepG2	ChIA-PET	4
cell line	HepG2	DNAme array	3
cell line	HepG2	WGS	3
cell line	HepG2	polyA minus RNA-seq	3
cell line	HepG2	small RNA-seq	3
cell line	HepG2	ATAC-seq	2
cell line	HepG2	BruChase-seq	2
cell line	HepG2	DNase-seq	2
cell line	HepG2	RIP-chip	2
cell line	HepG2	RNA-PET	2
cell line	HepG2	RRBS	2
cell line	HepG2	WGBS	2
cell line	HepG2	genotyping array	2
cell line	HepG2	long read RNA-seq	2
cell line	HepG2	microRNA-seq	2
cell line	HepG2	5C	1
cell line	HepG2	BruUV-seq	1
cell line	HepG2	FAIRE-seq	1
cell line	HepG2	Hi-C	1
cell line	HepG2	microRNA counts	1
cell line	GM12878	TF ChIP-seq	187
cell line	GM12878	Histone ChIP-seq	15
cell line	GM12878	polyA plus RNA-seq	13
cell line	GM12878	Hi-C	7
cell line	GM12878	RIP-chip	7
cell line	GM12878	RNA microarray	7
cell line	GM12878	CAGE	6
cell line	GM12878	Repli-seq	6
cell line	GM12878	small RNA-seq	6
cell line	GM12878	MS-MS	5
cell line	GM12878	total RNA-seq	5
cell line	GM12878	RIP-seq	4
cell line	GM12878	DNA-PET	3
cell line	GM12878	DNAme array	3
cell line	GM12878	long read RNA-seq	3
cell line	GM12878	polyA minus RNA-seq	3
cell line	GM12878	5C	2
cell line	GM12878	ATAC-seq	2
cell line	GM12878	BruChase-seq	2
cell line	GM12878	ChIA-PET	2
cell line	GM12878	RNA-PET	2
cell line	GM12878	RRBS	2
cell line	GM12878	genotyping array	2
cell line	GM12878	microRNA-seq	2
cell line	GM12878	scRNA-seq	2
cell line	GM12878	BruUV-seq	1
cell line	GM12878	DNase-seq	1
cell line	GM12878	FAIRE-seq	1
cell line	GM12878	MNase-seq	1
cell line	GM12878	MRE-seq	1
cell line	GM12878	MeDIP-seq	1
cell line	GM12878	RAMPAGE	1
cell line	GM12878	WGBS	1
cell line	GM12878	microRNA counts	1
cell line	MCF-7	TF ChIP-seq	147
cell line	MCF-7	Histone ChIP-seq	18
cell line	MCF-7	small RNA-seq	7
cell line	MCF-7	ChIA-PET	6
cell line	MCF-7	Repli-seq	6
cell line	MCF-7	DNase-seq	4
cell line	MCF-7	polyA plus RNA-seq	4
cell line	MCF-7	CAGE	3
cell line	MCF-7	RNA-PET	3
cell line	MCF-7	RRBS	3
cell line	MCF-7	BruChase-seq	2
cell line	MCF-7	DNAme array	2
cell line	MCF-7	RNA microarray	2
cell line	MCF-7	genotyping array	2
cell line	MCF-7	microRNA-seq	2
cell line	MCF-7	5C	1
cell line	MCF-7	ATAC-seq	1
cell line	MCF-7	BruUV-seq	1
cell line	MCF-7	FAIRE-seq	1
cell line	MCF-7	long read RNA-seq	1
cell line	MCF-7	microRNA counts	1
cell line	MCF-7	polyA minus RNA-seq	1
cell line	MCF-7	total RNA-seq	1
cell line	HEK293	TF ChIP-seq	198
cell line	HEK293	Histone ChIP-seq	6
cell line	HEK293	ChIA-PET	2
cell line	HEK293	DNAme array	2
cell line	HEK293	RRBS	2
cell line	HEK293	genotyping array	2
cell line	HEK293	RNA microarray	1
cell line	H1	TF ChIP-seq	78
cell line	H1	Histone ChIP-seq	51
cell line	H1	polyA plus RNA-seq	9
cell line	H1	CAGE	4
cell line	H1	microRNA-seq	4
cell line	H1	small RNA-seq	4
cell line	H1	polyA minus RNA-seq	3
cell line	H1	total RNA-seq	3
cell line	H1	DNAme array	2
cell line	H1	DNase-seq	2
cell line	H1	MS-MS	2
cell line	H1	WGBS	2
cell line	H1	5C	1
cell line	H1	ChIA-PET	1
cell line	H1	FAIRE-seq	1
cell line	H1	RIP-chip	1
cell line	H1	RNA-PET	1
cell line	H1	RRBS	1
cell line	H1	Repli-chip	1
cell line	H1	genotyping array	1
cell line	H1	microRNA counts	1
cell line	HeLa-S3	TF ChIP-seq	71
cell line	HeLa-S3	Histone ChIP-seq	15
cell line	HeLa-S3	CAGE	6
cell line	HeLa-S3	Repli-seq	6
cell line	HeLa-S3	polyA plus RNA-seq	5
cell line	HeLa-S3	DNase-seq	3
cell line	HeLa-S3	RNA-PET	3
cell line	HeLa-S3	polyA minus RNA-seq	3
cell line	HeLa-S3	small RNA-seq	3
cell line	HeLa-S3	DNAme array	2
cell line	HeLa-S3	RIP-chip	2
cell line	HeLa-S3	genotyping array	2
cell line	HeLa-S3	5C	1
cell line	HeLa-S3	ChIA-PET	1
cell line	HeLa-S3	FAIRE-seq	1
cell line	HeLa-S3	Hi-C	1
cell line	HeLa-S3	RNA microarray	1
cell line	HeLa-S3	RRBS	1
cell line	HeLa-S3	Repli-chip	1
cell line	HeLa-S3	WGBS	1
cell line	A549	TF ChIP-seq	78
cell line	A549	small RNA-seq	9
cell line	A549	Histone ChIP-seq	7
cell line	A549	polyA plus RNA-seq	4
cell line	A549	CAGE	3
cell line	A549	RNA-PET	3
cell line	A549	ATAC-seq	2
cell line	A549	ChIA-PET	2
cell line	A549	DNase-seq	2
cell line	A549	Hi-C	2
cell line	A549	RNA microarray	2
cell line	A549	Repli-seq	2
cell line	A549	genotyping array	2
cell line	A549	DNAme array	1
cell line	A549	FAIRE-seq	1
cell line	A549	WGBS	1
cell line	A549	WGS	1
cell line	A549	polyA minus RNA-seq	1
cell line	IMR-90	Histone ChIP-seq	30
cell line	IMR-90	TF ChIP-seq	16
cell line	IMR-90	small RNA-seq	9
cell line	IMR-90	Repli-seq	6
cell line	IMR-90	CAGE	3
cell line	IMR-90	RNA-PET	3
cell line	IMR-90	polyA plus RNA-seq	3
cell line	IMR-90	total RNA-seq	3
cell line	IMR-90	BruChase-seq	2
cell line	IMR-90	DNAme array	2
cell line	IMR-90	DNase-seq	2
cell line	IMR-90	Hi-C	2
cell line	IMR-90	WGBS	2
cell line	IMR-90	genotyping array	2
cell line	IMR-90	microRNA-seq	2
cell line	IMR-90	ATAC-seq	1
cell line	IMR-90	BruUV-seq	1
cell line	IMR-90	ChIA-PET	1
cell line	IMR-90	RRBS	1
cell line	IMR-90	Repli-chip	1
cell line	IMR-90	long read RNA-seq	1
cell line	SK-N-SH	TF ChIP-seq	38
cell line	SK-N-SH	Histone ChIP-seq	18
cell line	SK-N-SH	small RNA-seq	9
cell line	SK-N-SH	Repli-seq	6
cell line	SK-N-SH	polyA plus RNA-seq	4
cell line	SK-N-SH	CAGE	3
cell line	SK-N-SH	RNA-PET	3
cell line	SK-N-SH	ChIA-PET	2
cell line	SK-N-SH	DNAme array	2
cell line	SK-N-SH	DNase-seq	1
cell line	SK-N-SH	RRBS	1
cell line	SK-N-SH	WGBS	1
cell line	SK-N-SH	genotyping array	1
cell line	MEL	TF ChIP-seq	44
cell line	MEL	Histone ChIP-seq	12
cell line	MEL	polyA plus RNA-seq	3
cell line	MEL	DNase-seq	1
cell line	MEL	MRE-seq	1
cell line	MEL	MeDIP-seq	1
cell line	MEL	Repli-chip	1
cell line	MEL	total RNA-seq	1
cell line	H9	Histone ChIP-seq	33
cell line	H9	Mint-ChIP-seq	14
cell line	H9	DNase-seq	7
cell line	H9	ChIA-PET	1
cell line	H9	RNA microarray	1
cell line	H9	Repli-chip	1
cell line	H9	TF ChIP-seq	1
cell line	H9	WGBS	1
cell line	H9	long read RNA-seq	1
cell line	H9	microRNA-seq	1
cell line	H9	total RNA-seq	1
cell line	HCT116	TF ChIP-seq	27
cell line	HCT116	Histone ChIP-seq	17
cell line	HCT116	ChIA-PET	3
cell line	HCT116	BruChase-seq	2
cell line	HCT116	DNAme array	2
cell line	HCT116	microRNA-seq	2
cell line	HCT116	ATAC-seq	1
cell line	HCT116	BruUV-seq	1
cell line	HCT116	DNase-seq	1
cell line	HCT116	RNA microarray	1
cell line	HCT116	RRBS	1
cell line	HCT116	long read RNA-seq	1
cell line	HCT116	microRNA counts	1
cell line	HCT116	polyA plus RNA-seq	1
cell line	HCT116	total RNA-seq	1
cell line	CH12.LX	TF ChIP-seq	39
cell line	CH12.LX	Histone ChIP-seq	13
cell line	CH12.LX	Hi-C	2
cell line	CH12.LX	total RNA-seq	2
cell line	CH12.LX	DNase-seq	1
cell line	CH12.LX	MRE-seq	1
cell line	CH12.LX	MeDIP-seq	1
cell line	CH12.LX	Repli-chip	1
cell line	CH12.LX	polyA plus RNA-seq	1
cell line	GM23338	TF ChIP-seq	16
cell line	GM23338	Histone ChIP-seq	11
cell line	GM23338	Mint-ChIP-seq	5
cell line	GM23338	DNase-seq	2
cell line	GM23338	microRNA-seq	2
cell line	GM23338	total RNA-seq	2
cell line	GM23338	ATAC-seq	1
cell line	GM23338	DNAme array	1
cell line	GM23338	RAMPAGE	1
cell line	GM23338	long read RNA-seq	1
cell line	GM23338	microRNA counts	1
cell line	GM23338	polyA plus RNA-seq	1
cell line	GM23338	small RNA-seq	1
cell line	Panc1	Histone ChIP-seq	7
cell line	Panc1	TF ChIP-seq	7
cell line	Panc1	DNAme array	3
cell line	Panc1	genotyping array	3
cell line	Panc1	BruChase-seq	2
cell line	Panc1	RRBS	2
cell line	Panc1	ATAC-seq	1
cell line	Panc1	BruUV-seq	1
cell line	Panc1	DNase-seq	1
cell line	Panc1	Hi-C	1
cell line	Panc1	RNA microarray	1
cell line	Panc1	WGS	1
cell line	Panc1	long read RNA-seq	1
cell line	Panc1	microRNA-seq	1
cell line	Panc1	polyA plus RNA-seq	1
cell line	Panc1	total RNA-seq	1
cell line	GM23248	Histone ChIP-seq	13
cell line	GM23248	TF ChIP-seq	2
cell line	GM23248	WGBS	2
cell line	GM23248	WGS	2
cell line	GM23248	DNAme array	1
cell line	GM23248	DNase-seq	1
cell line	GM23248	Hi-C	1
cell line	GM23248	RAMPAGE	1
cell line	GM23248	genotyping array	1
cell line	GM23248	microRNA counts	1
cell line	GM23248	microRNA-seq	1
cell line	GM23248	polyA plus RNA-seq	1
cell line	GM23248	small RNA-seq	1
cell line	GM23248	total RNA-seq	1
cell line	PC-3	Histone ChIP-seq	13
cell line	PC-3	TF ChIP-seq	3
cell line	PC-3	BruChase-seq	2
cell line	PC-3	total RNA-seq	2
cell line	PC-3	ATAC-seq	1
cell line	PC-3	BruUV-seq	1
cell line	PC-3	DNase-seq	1
cell line	PC-3	RAMPAGE	1
cell line	PC-3	long read RNA-seq	1
cell line	PC-3	microRNA-seq	1
cell line	Kc167	small RNA-seq	8
cell line	Kc167	TF ChIP-seq	7
cell line	Kc167	CAGE	2
cell line	Kc167	polyA plus RNA-seq	2
cell line	Kc167	total RNA-seq	2
cell line	Kc167	PAS-seq	1
cell line	BJ	Repli-seq	6
cell line	BJ	Histone ChIP-seq	3
cell line	BJ	5C	1
cell line	BJ	CAGE	1
cell line	BJ	ChIA-PET	1
cell line	BJ	DNAme array	1
cell line	BJ	DNase-seq	1
cell line	BJ	RNA microarray	1
cell line	BJ	RRBS	1
cell line	BJ	TF ChIP-seq	1
cell line	BJ	genotyping array	1
cell line	BJ	polyA minus RNA-seq	1
cell line	BJ	polyA plus RNA-seq	1
cell line	BJ	small RNA-seq	1
cell line	HEK293T	TF ChIP-seq	17
cell line	HEK293T	ChIA-PET	2
cell line	HEK293T	DNase-seq	1
cell line	HEK293T	RNA microarray	1
cell line	SK-N-MC	Histone ChIP-seq	7
cell line	SK-N-MC	TF ChIP-seq	3
cell line	SK-N-MC	DNAme array	2
cell line	SK-N-MC	Repli-seq	2
cell line	SK-N-MC	DNase-seq	1
cell line	SK-N-MC	Hi-C	1
cell line	SK-N-MC	RNA microarray	1
cell line	SK-N-MC	RRBS	1
cell line	SK-N-MC	WGS	1
cell line	SK-N-MC	genotyping array	1
cell line	OCI-LY7	Histone ChIP-seq	10
cell line	OCI-LY7	TF ChIP-seq	2
cell line	OCI-LY7	DNAme array	1
cell line	OCI-LY7	DNase-seq	1
cell line	OCI-LY7	RAMPAGE	1
cell line	OCI-LY7	WGBS	1
cell line	OCI-LY7	genotyping array	1
cell line	OCI-LY7	small RNA-seq	1
cell line	OCI-LY7	total RNA-seq	1
cell line	AG04450	Histone ChIP-seq	4
cell line	AG04450	DNAme array	3
cell line	AG04450	genotyping array	2
cell line	AG04450	CAGE	1
cell line	AG04450	ChIA-PET	1
cell line	AG04450	DNase-seq	1
cell line	AG04450	RNA microarray	1
cell line	AG04450	RRBS	1
cell line	AG04450	TF ChIP-seq	1
cell line	AG04450	polyA minus RNA-seq	1
cell line	AG04450	polyA plus RNA-seq	1
cell line	AG04450	small RNA-seq	1
cell line	Ishikawa	TF ChIP-seq	16
cell line	Ishikawa	DNAme array	1
cell line	Ishikawa	RRBS	1
cell line	C2C12	TF ChIP-seq	7
cell line	C2C12	Histone ChIP-seq	6
cell line	C2C12	long read RNA-seq	2
cell line	C2C12	microRNA-seq	1
cell line	C2C12	polyA plus RNA-seq	1
cell line	GM06990	Repli-seq	6
cell line	GM06990	Histone ChIP-seq	3
cell line	GM06990	5C	1
cell line	GM06990	DNAme array	1
cell line	GM06990	DNase-seq	1
cell line	GM06990	RNA microarray	1
cell line	GM06990	RRBS	1
cell line	GM06990	Repli-chip	1
cell line	GM06990	TF ChIP-seq	1
cell line	GM06990	genotyping array	1
cell line	GM12891	TF ChIP-seq	8
cell line	GM12891	ChIA-PET	2
cell line	GM12891	DNAme array	2
cell line	GM12891	DNase-seq	1
cell line	GM12891	FAIRE-seq	1
cell line	GM12891	RRBS	1
cell line	GM12891	genotyping array	1
cell line	GM12891	polyA plus RNA-seq	1
cell line	H7	Histone ChIP-seq	8
cell line	H7	DNase-seq	2
cell line	H7	RNA microarray	2
cell line	H7	DNAme array	1
cell line	H7	RAMPAGE	1
cell line	H7	Repli-chip	1
cell line	H7	genotyping array	1
cell line	H7	total RNA-seq	1
cell line	MM.1S	Histone ChIP-seq	13
cell line	MM.1S	TF ChIP-seq	3
cell line	MM.1S	DNase-seq	1
cell line	NT2/D1	Histone ChIP-seq	6
cell line	NT2/D1	TF ChIP-seq	3
cell line	NT2/D1	DNAme array	2
cell line	NT2/D1	RRBS	2
cell line	NT2/D1	genotyping array	2
cell line	NT2/D1	DNase-seq	1
cell line	NT2/D1	RNA microarray	1
cell line	PC-9	Histone ChIP-seq	13
cell line	PC-9	TF ChIP-seq	3
cell line	PC-9	DNase-seq	1
cell line	WTC11	long read RNA-seq	7
cell line	WTC11	TF ChIP-seq	6
cell line	WTC11	total RNA-seq	2
cell line	WTC11	ATAC-seq	1
cell line	WTC11	DNase-seq	1
cell line	DND-41	Histone ChIP-seq	12
cell line	DND-41	TF ChIP-seq	2
cell line	DND-41	ATAC-seq	1
cell line	DND-41	DNase-seq	1
cell line	G1E	Histone ChIP-seq	5
cell line	G1E	TF ChIP-seq	5
cell line	G1E	polyA plus RNA-seq	2
cell line	G1E	total RNA-seq	2
cell line	G1E	ATAC-seq	1
cell line	G1E	DNase-seq	1
cell line	HL-60	TF ChIP-seq	5
cell line	HL-60	Histone ChIP-seq	3
cell line	HL-60	DNase-seq	2
cell line	HL-60	DNAme array	1
cell line	HL-60	RNA microarray	1
cell line	HL-60	RRBS	1
cell line	HL-60	genotyping array	1
cell line	HL-60	long read RNA-seq	1
cell line	HL-60	microRNA-seq	1
cell line	Karpas-422	Histone ChIP-seq	12
cell line	Karpas-422	DNase-seq	1
cell line	Karpas-422	RAMPAGE	1
cell line	Karpas-422	small RNA-seq	1
cell line	Karpas-422	total RNA-seq	1
cell line	ML-DmBG3-c2	small RNA-seq	8
cell line	ML-DmBG3-c2	total RNA-seq	4
cell line	ML-DmBG3-c2	CAGE	2
cell line	ML-DmBG3-c2	PAS-seq	1
cell line	ML-DmBG3-c2	polyA plus RNA-seq	1
cell line	S2	small RNA-seq	8
cell line	S2	TF ChIP-seq	3
cell line	S2	CAGE	1
cell line	S2	DNase-seq	1
cell line	S2	PAS-seq	1
cell line	S2	polyA plus RNA-seq	1
cell line	S2	total RNA-seq	1
cell line	ES-E14	Histone ChIP-seq	8
cell line	ES-E14	TF ChIP-seq	5
cell line	ES-E14	DNase-seq	1
cell line	ES-E14	total RNA-seq	1
cell line	GM12892	TF ChIP-seq	6
cell line	GM12892	ChIA-PET	2
cell line	GM12892	DNAme array	2
cell line	GM12892	DNase-seq	1
cell line	GM12892	FAIRE-seq	1
cell line	GM12892	RRBS	1
cell line	GM12892	genotyping array	1
cell line	GM12892	polyA plus RNA-seq	1
cell line	HFFc6	total RNA-seq	6
cell line	HFFc6	Mint-ChIP-seq	5
cell line	HFFc6	DNase-seq	1
cell line	HFFc6	TF ChIP-seq	1
cell line	HFFc6	long read RNA-seq	1
cell line	HFFc6	microRNA-seq	1
cell line	NCI-H460	RAMPAGE	3
cell line	NCI-H460	Repli-seq	2
cell line	NCI-H460	polyA plus RNA-seq	2
cell line	NCI-H460	small RNA-seq	2
cell line	NCI-H460	DNAme array	1
cell line	NCI-H460	DNase-seq	1
cell line	NCI-H460	Hi-C	1
cell line	NCI-H460	WGS	1
cell line	NCI-H460	genotyping array	1
cell line	NCI-H460	total RNA-seq	1
cell line	OCI-LY1	Histone ChIP-seq	13
cell line	OCI-LY1	TF ChIP-seq	2
cell line	BE2C	Histone ChIP-seq	5
cell line	BE2C	DNAme array	2
cell line	BE2C	DNase-seq	2
cell line	BE2C	RNA microarray	1
cell line	BE2C	RRBS	1
cell line	BE2C	TF ChIP-seq	1
cell line	BE2C	genotyping array	1
cell line	BE2C	polyA plus RNA-seq	1
cell line	DOHH2	Histone ChIP-seq	12
cell line	DOHH2	TF ChIP-seq	2
cell line	Loucy	Histone ChIP-seq	12
cell line	Loucy	TF ChIP-seq	2
cell line	NCI-H929	Histone ChIP-seq	11
cell line	NCI-H929	ATAC-seq	1
cell line	NCI-H929	DNase-seq	1
cell line	NCI-H929	TF ChIP-seq	1
cell line	SU-DHL-6	Histone ChIP-seq	12
cell line	SU-DHL-6	TF ChIP-seq	2
cell line	Caco-2	Histone ChIP-seq	5
cell line	Caco-2	DNase-seq	2
cell line	Caco-2	5C	1
cell line	Caco-2	DNAme array	1
cell line	Caco-2	RNA microarray	1
cell line	Caco-2	RRBS	1
cell line	Caco-2	TF ChIP-seq	1
cell line	Caco-2	genotyping array	1
cell line	LNCaP clone FGC	DNAme array	2
cell line	LNCaP clone FGC	DNase-seq	2
cell line	LNCaP clone FGC	RRBS	2
cell line	LNCaP clone FGC	genotyping array	2
cell line	LNCaP clone FGC	5C	1
cell line	LNCaP clone FGC	Hi-C	1
cell line	LNCaP clone FGC	Histone ChIP-seq	1
cell line	LNCaP clone FGC	RNA microarray	1
cell line	LNCaP clone FGC	TF ChIP-seq	1
cell line	OCI-LY3	Histone ChIP-seq	11
cell line	OCI-LY3	TF ChIP-seq	2
cell line	SJCRH30	Histone ChIP-seq	6
cell line	SJCRH30	DNase-seq	2
cell line	SJCRH30	DNAme array	1
